Date,tweet_count
9/30/2017,56280
10/1/2017,58917
10/2/2017,66945
10/3/2017,70772
10/4/2017,76296
10/5/2017,61290
10/6/2017,68406
10/7/2017,76111
10/8/2017,63113
10/9/2017,73002
10/10/2017,79373
10/11/2017,68320
10/12/2017,106779
10/13/2017,99372
10/14/2017,83670
10/15/2017,93320
10/16/2017,77238
10/17/2017,80151
10/18/2017,71392
10/19/2017,85571
10/20/2017,94627
10/21/2017,66998
10/22/2017,74513
10/23/2017,86442
10/24/2017,74472
10/25/2017,72426
10/26/2017,67679
10/27/2017,69197
10/28/2017,59449
10/29/2017,64396
10/30/2017,73018
10/31/2017,86043
11/1/2017,89885
11/2/2017,92923
11/3/2017,77953
11/4/2017,73373
11/5/2017,67196
11/6/2017,72577
11/7/2017,64461
11/8/2017,81551
11/9/2017,81241
11/10/2017,80481
11/11/2017,68892
11/12/2017,71176
11/13/2017,73373
11/14/2017,71630
11/15/2017,79934
11/16/2017,87538
11/17/2017,83410
11/18/2017,68192
11/19/2017,72762
11/20/2017,102144
11/21/2017,87110
11/22/2017,78405
11/23/2017,75047
11/24/2017,69886
11/25/2017,71625
11/26/2017,80943
11/27/2017,98413
11/28/2017,106360
11/29/2017,128781
11/30/2017,103190
12/1/2017,105017
12/2/2017,88292
12/3/2017,83022
12/4/2017,97945
12/5/2017,103919
12/6/2017,116856
12/7/2017,155600
12/8/2017,124260
12/9/2017,114109
12/10/2017,100455
12/11/2017,128425
12/12/2017,113215
12/13/2017,98863
12/14/2017,109628
12/15/2017,105711
12/16/2017,82782
12/17/2017,84441
12/18/2017,97245
12/19/2017,83423
12/20/2017,101169
12/21/2017,105591
12/22/2017,124670
12/23/2017,100098
12/24/2017,70864
12/25/2017,64029
12/26/2017,77648
12/27/2017,78968
12/28/2017,79968
12/29/2017,77151
12/30/2017,71377
12/31/2017,64989
1/1/2018,62044
1/2/2018,77723
1/3/2018,79086
1/4/2018,74534
1/5/2018,76404
1/6/2018,62977
1/7/2018,67259
1/8/2018,30585
1/9/2018,80932
1/10/2018,82357
1/11/2018,100333
1/12/2018,80737
1/13/2018,63396
1/14/2018,65657
1/15/2018,76852
1/16/2018,102135
1/17/2018,111394
1/18/2018,100366
1/19/2018,57244
1/20/2018,75149
1/21/2018,76295
1/22/2018,93708
1/23/2018,81995
1/24/2018,78855
1/25/2018,79509
1/26/2018,73227
1/27/2018,63956
1/28/2018,66645
1/29/2018,82322
1/30/2018,84246
1/31/2018,81651
2/1/2018,93008
2/2/2018,102640
2/3/2018,76444
2/4/2018,78202
2/5/2018,99959
2/6/2018,109734
2/7/2018,95072
2/8/2018,101569
2/9/2018,89542
2/10/2018,77570
2/11/2018,75335
2/12/2018,83783
2/13/2018,73084
2/14/2018,72888
2/15/2018,74208
2/16/2018,74964
2/17/2018,69716
2/18/2018,62968
2/19/2018,69225
2/20/2018,75215
2/21/2018,69562
2/22/2018,66124
2/23/2018,62576
2/24/2018,56616
2/25/2018,63393
2/26/2018,66533
2/27/2018,64827
2/28/2018,68823
3/1/2018,61852
3/2/2018,61317
3/3/2018,61852
3/4/2018,61852
3/5/2018,61852
3/6/2018,61852
3/7/2018,61852
3/8/2018,61852
3/9/2018,61852
3/10/2018,61852
3/11/2018,61852
3/12/2018,61852
3/13/2018,61852
3/14/2018,61852
3/15/2018,61852
3/16/2018,61852
3/17/2018,61852
3/18/2018,61852
3/19/2018,61852
3/20/2018,61852
3/21/2018,61852
3/22/2018,61852
3/23/2018,61852
3/24/2018,61852
3/25/2018,61852
3/26/2018,61852
3/27/2018,61852
3/28/2018,61852
3/29/2018,61852
3/30/2018,61852
3/31/2018,61852
4/1/2018,61852
4/2/2018,61852
4/3/2018,61852
4/4/2018,61852
4/5/2018,61852
4/6/2018,61852
4/7/2018,52476
4/8/2018,52796
4/9/2018,59029
4/10/2018,59044
4/11/2018,61072
4/12/2018,68886
4/13/2018,64178
4/14/2018,50026
4/15/2018,52494
4/16/2018,56538
4/17/2018,56111
4/18/2018,56720
4/19/2018,57013
4/20/2018,57190
4/21/2018,56176
4/22/2018,59404
4/23/2018,59885
4/24/2018,67323
4/25/2018,65523
4/26/2018,64330
4/27/2018,55754
4/28/2018,49473
4/29/2018,46959
4/30/2018,49151
5/1/2018,49777
5/2/2018,48137
5/3/2018,50882
5/4/2018,57751
5/5/2018,50536
5/6/2018,47589
5/7/2018,53424
5/8/2018,52302
5/9/2018,54594
5/10/2018,53621
5/11/2018,55128
5/12/2018,48718
5/13/2018,46131
5/14/2018,52460
5/15/2018,50376
5/16/2018,49167
5/17/2018,47708
5/18/2018,46685
5/19/2018,40643
5/20/2018,41628
5/21/2018,44301
5/22/2018,44097
5/23/2018,49303
5/24/2018,46043
5/25/2018,42093
5/26/2018,38020
5/27/2018,43809
5/28/2018,44801
5/29/2018,46903
5/30/2018,51863
5/31/2018,47154
6/1/2018,45316
6/2/2018,41760
