Date,NYA_Open,NYA_High,NYA_Low,NYA_Close,NYA_Volume
10/2/2017,12209.1623,12265.388,12200.1322,12264.6649,0
10/3/2017,12274.7263,12303.7201,12266.5201,12302.88,0
10/4/2017,12298.1054,12320.0339,12289.1676,12304.6706,0
10/5/2017,12307.7244,12351.1419,12303.0524,12338.9303,0
10/6/2017,12314.6081,12317.9778,12291.8717,12317.6922,0
10/9/2017,12328.1852,12334.3061,12281.1745,12293.95,0
10/10/2017,12329.6455,12355.9995,12321.6116,12346.59,0
10/11/2017,12347.2118,12362.1935,12338.1756,12362.06,0
10/12/2017,12342.1489,12353.1423,12325.031,12338.74,0
10/13/2017,12360.8712,12377.8901,12350.0317,12352,0
10/16/2017,12365.991,12377.2544,12343.1794,12359.52,0
10/17/2017,12355.2176,12357.6438,12332.2507,12349.97,0
10/18/2017,12371.2955,12382.5852,12358.0973,12371.0203,0
10/19/2017,12336.145,12381.5186,12322.1257,12380.3234,0
10/20/2017,12407.9806,12430.6471,12401.6362,12430.52,0
10/23/2017,12436.7603,12443.7986,12383.3553,12384.4231,0
10/24/2017,12405.9696,12419.5131,12397.2582,12404.9931,0
10/25/2017,12406.197,12406.197,12280.3053,12336.5756,0
10/26/2017,12362.8379,12380.2804,12350.4954,12352.4288,0
10/27/2017,12339.6512,12366.7025,12308.3579,12366.4342,0
10/30/2017,12349.3643,12354.5583,12308.8365,12319.4677,0
10/31/2017,12333.8221,12358.7551,12322.4486,12341.01,0
11/1/2017,12383.8709,12414.604,12352.1015,12362.88,0
11/2/2017,12359.2888,12377.0878,12316.7681,12372.96,0
11/3/2017,12361.023,12376.2311,12340.8883,12373.06,0
11/6/2017,12373.0698,12410.66,12365.5055,12400.9294,0
11/7/2017,12398.7857,12415.9643,12344.6439,12371.25,0
11/8/2017,12361.2301,12390.5307,12344.1494,12384.7153,0
11/9/2017,12326.3167,12350.695,12268.0687,12339.66,0
11/10/2017,12324.3783,12332.2352,12303.8579,12322.6043,0
11/13/2017,12281.1922,12328.1579,12272.208,12316.82,0
11/14/2017,12316.829,12316.829,12238.0845,12280.1112,0
11/15/2017,12222.0856,12250.9198,12178.8874,12220.34,0
11/16/2017,12258.7755,12321.899,12258.7755,12303.2789,0
11/17/2017,12281.2821,12314.6867,12277.3107,12302.89,0
11/20/2017,12306.662,12331.0948,12294.9554,12320.7744,0
11/21/2017,12352.5716,12397.324,12352.5716,12385.88,0
11/22/2017,12406.1373,12416.7549,12380.291,12390.8249,0
11/24/2017,12423.7047,12431.688,12419.3991,12421.93,0
11/27/2017,12421.3077,12427.3135,12390.3022,12390.78,0
11/28/2017,12412.1466,12523.6443,12409.6222,12520.2295,0
11/29/2017,12529.5524,12579.8026,12529.5524,12561.32,0
11/30/2017,12596.3537,12673.7003,12584.9438,12627.7958,0
12/1/2017,12636.7326,12649.2812,12463.8287,12614.5649,0
12/4/2017,12685.7798,12724.4952,12632.8799,12634.89,0
12/5/2017,12635.7202,12640.3832,12559.4928,12567.1603,0
12/6/2017,12550.1717,12565.5971,12524.4318,12532.43,0
12/7/2017,12517.6712,12581.4282,12512.0294,12568.983,0
12/8/2017,12605.0033,12643.1228,12587.6076,12643.06,0
12/11/2017,19730.5374,19763.5333,12643.0638,12668.21,0
12/12/2017,12680.7004,12717.0838,12674.889,12697.78,0
12/13/2017,12709.0558,12739.8027,12699.48,12699.48,0
12/14/2017,12706.7803,12713.8228,12629.066,12629.07,0
