Date,oil_price
10/2/2017,54.6
10/3/2017,54.28
10/4/2017,53.93
10/5/2017,54.62
10/6/2017,54.47
10/9/2017,53.7
10/10/2017,54.23
10/11/2017,54.54
10/12/2017,54.44
10/13/2017,55.12
10/16/2017,55.74
10/17/2017,55.83
10/18/2017,56.12
10/19/2017,55.52
10/20/2017,55.41
10/23/2017,55.77
10/24/2017,55.59
10/25/2017,56.33
10/26/2017,56.45
10/27/2017,57.55
10/30/2017,58.27
10/31/2017,58.53
11/1/2017,59.21
11/2/2017,58.45
11/3/2017,59.12
11/6/2017,61.02
11/7/2017,62.07
11/8/2017,61.61
11/9/2017,61.7
11/10/2017,61.91
11/13/2017,61.27
11/14/2017,60.52
11/15/2017,59.79
11/16/2017,59.98
11/17/2017,59.9
11/20/2017,60.33
11/21/2017,60.49
11/22/2017,61.09
11/23/2017,61.14
11/24/2017,61.64
11/27/2017,61.51
11/28/2017,61.31
11/29/2017,61.14
11/30/2017,61.06
12/1/2017,61.71
12/4/2017,61.45
12/5/2017,60.87
12/6/2017,60.73
12/7/2017,60.12
12/8/2017,61.03
12/11/2017,61.94
12/12/2017,62.75
12/13/2017,61.5
12/14/2017,60.87
12/15/2017,61.48
12/18/2017,61.64
12/19/2017,61.72
12/20/2017,62.16
12/21/2017,62.66
12/22/2017,62.66
12/26/2017,63.07
12/27/2017,64.24
12/28/2017,64.17
12/29/2017,64.47
1/2/2018,64.84
1/3/2018,65.13
1/4/2018,66.13
1/5/2018,65.86
1/8/2018,65.85
1/9/2018,66.39
1/10/2018,67.24
1/11/2018,67.38
1/12/2018,67.17
1/15/2018,67.78
1/16/2018,67.54
1/17/2018,67.07
1/18/2018,67.2
1/19/2018,66.48
1/22/2018,66.89
1/23/2018,67.32
1/24/2018,67.61
1/25/2018,68.46
1/26/2018,67.94
1/29/2018,67.6
1/30/2018,66.6
1/31/2018,66.28
2/1/2018,66.88
2/2/2018,67.11
2/5/2018,65.75
2/6/2018,64.89
2/7/2018,64.36
2/8/2018,62.74
2/9/2018,61.57
2/12/2018,61.04
2/13/2018,60.52
2/14/2018,60.62
2/15/2018,62.09
2/16/2018,62.41
2/19/2018,62.89
2/20/2018,62.81
2/21/2018,62.5
2/22/2018,63.08
2/23/2018,64.15
2/26/2018,65.18
2/27/2018,64.99
2/28/2018,63.97
3/1/2018,62.17
3/2/2018,61.57
3/5/2018,62.87
3/6/2018,63.24
3/7/2018,62.68
3/8/2018,61.85
3/9/2018,61.95
3/12/2018,62.53
3/13/2018,62.15
3/14/2018,61.97
3/15/2018,62.24
3/16/2018,62.74
3/19/2018,63.31
3/20/2018,64.11
3/21/2018,65.39
3/22/2018,66.19
3/23/2018,66.4
3/26/2018,66.81
3/27/2018,66.81
3/28/2018,66.06
3/29/2018,65.87
4/2/2018,66.08
4/3/2018,64.97
4/4/2018,64.48
4/5/2018,65.17
4/6/2018,64.81
4/9/2018,65.08
4/10/2018,66.95
4/11/2018,68.29
4/12/2018,68.73
4/13/2018,69.29
4/16/2018,68.41
4/17/2018,68.36
4/18/2018,69.39
4/19/2018,70.96
4/20/2018,70.36
4/23/2018,70.51
4/24/2018,71.34
4/25/2018,70.5
4/26/2018,71
4/27/2018,71.24
4/30/2018,71.01
5/1/2018,70.57
5/2/2018,70.46
5/3/2018,70.64
5/4/2018,70.97
5/7/2018,72.43
5/8/2018,72.1
5/9/2018,73.95
5/10/2018,74.44
5/11/2018,74.4
5/14/2018,74.2
5/15/2018,75.47
5/16/2018,75.18
5/17/2018,76.75
5/18/2018,76.47
5/21/2018,76.21
5/22/2018,77.19
5/23/2018,76.43
5/24/2018,76.62
5/25/2018,74.87
5/28/2018,73.37
5/29/2018,72.91
5/30/2018,73.72
5/31/2018,75.17
