Date,btc,bitcoin,btc usd,btcusd,cypto,cryptocurrency,eth,ethereum,blockchain
1/1/2016,63,60,38,38,0,18,48,8,39
1/2/2016,72,61,31,100,0,33,47,6,43
1/3/2016,68,65,49,0,0,38,51,4,38
1/4/2016,81,69,62,0,51,28,63,5,39
1/5/2016,88,68,45,44,0,19,65,7,48
1/6/2016,80,65,64,0,0,33,66,11,46
1/7/2016,87,78,85,59,52,24,74,11,55
1/8/2016,86,73,64,30,53,44,84,8,58
1/9/2016,66,67,51,34,0,37,46,7,45
1/10/2016,70,63,39,0,0,31,54,7,32
1/11/2016,78,67,67,55,49,54,65,14,43
1/12/2016,76,65,42,0,0,32,57,9,49
1/13/2016,69,69,54,43,0,46,52,11,62
1/14/2016,78,65,48,28,0,33,57,11,60
1/15/2016,88,100,100,60,53,63,67,13,61
1/16/2016,88,98,60,32,0,37,50,12,40
1/17/2016,74,80,44,66,0,47,49,7,31
1/18/2016,100,79,64,59,0,37,59,17,49
1/19/2016,81,78,86,0,0,74,73,16,66
1/20/2016,92,85,75,43,51,66,65,15,63
1/21/2016,73,80,73,0,0,52,66,19,63
1/22/2016,76,73,82,75,0,48,74,13,76
1/23/2016,78,64,73,64,0,58,51,21,52
1/24/2016,73,66,48,0,0,37,47,30,52
1/25/2016,77,69,62,28,0,74,70,40,64
1/26/2016,76,67,67,29,0,60,81,32,70
1/27/2016,72,65,53,28,0,60,59,23,69
1/28/2016,70,72,52,30,0,56,71,28,65
1/29/2016,75,65,59,58,0,58,60,23,61
1/30/2016,70,58,41,34,0,48,50,18,49
1/31/2016,57,64,39,33,57,42,45,20,50
2/1/2016,74,62,51,0,0,45,58,20,74
2/2/2016,69,62,57,29,0,37,61,11,63
2/3/2016,71,63,47,28,100,42,58,15,54
2/4/2016,70,64,44,30,51,76,62,15,62
2/5/2016,70,57,47,30,0,59,55,19,67
2/6/2016,71,64,59,33,0,54,35,17,48
2/7/2016,61,63,49,0,0,54,47,18,51
2/8/2016,65,60,42,0,0,42,67,34,75
2/9/2016,75,63,62,44,0,33,64,38,64
2/10/2016,66,65,38,87,0,74,71,48,70
2/11/2016,74,67,53,43,0,56,81,48,74
2/12/2016,67,63,61,29,0,43,74,57,53
2/13/2016,63,58,60,33,0,79,42,43,40
2/14/2016,65,67,49,0,0,88,44,35,40
2/15/2016,79,72,63,56,50,55,72,39,59
2/16/2016,63,70,41,29,49,54,69,35,81
2/17/2016,77,72,74,29,0,42,69,31,91
2/18/2016,75,82,60,43,50,18,63,28,94
2/19/2016,74,75,65,44,0,28,60,26,76
2/20/2016,81,71,70,48,0,68,52,25,37
2/21/2016,78,75,65,65,0,21,51,27,60
2/22/2016,78,69,67,0,0,41,100,36,92
2/23/2016,83,68,71,57,49,63,90,41,81
2/24/2016,77,65,59,0,49,50,92,35,70
2/25/2016,86,66,67,28,0,55,75,41,82
2/26/2016,83,64,60,0,0,53,71,46,61
2/27/2016,75,62,64,33,0,26,47,36,37
2/28/2016,72,59,51,0,0,92,50,34,58
2/29/2016,79,65,62,27,48,58,81,38,58
3/1/2016,79,69,64,54,48,49,85,45,79
3/2/2016,60,68,46,27,0,59,85,56,100
3/3/2016,77,69,75,43,50,69,87,88,84
3/4/2016,72,65,64,0,51,56,66,63,81
3/5/2016,82,67,63,0,0,69,76,73,57
3/6/2016,72,66,59,47,56,72,46,64,49
3/7/2016,77,68,56,0,0,55,76,70,69
3/8/2016,71,66,73,0,0,59,81,55,67
3/9/2016,71,66,51,0,0,87,83,58,80
3/10/2016,74,61,52,88,0,64,74,61,78
3/11/2016,71,60,53,0,0,33,94,51,71
3/12/2016,67,57,62,0,0,80,59,89,54
3/13/2016,72,58,49,31,0,31,63,87,43
3/14/2016,80,68,46,28,0,83,81,100,68
3/15/2016,83,66,47,0,49,100,79,80,64
3/16/2016,81,61,55,29,49,68,74,73,74
3/17/2016,79,60,52,0,0,37,75,69,70
3/18/2016,78,59,51,0,0,87,58,69,56
3/19/2016,73,50,60,33,57,48,49,54,46
3/20/2016,62,53,51,33,0,52,44,62,55
3/21/2016,87,61,64,0,51,51,70,62,79
3/22/2016,68,62,43,28,100,60,83,57,76
3/23/2016,77,59,44,0,0,61,72,55,72
3/24/2016,67,60,50,0,0,25,77,40,79
3/25/2016,71,61,44,32,56,88,53,54,65
3/26/2016,70,56,44,0,0,56,39,57,48
3/27/2016,64,61,38,0,0,72,44,41,43
3/28/2016,74,66,71,0,0,58,47,96,73
3/29/2016,78,65,72,0,0,68,67,70,84
3/30/2016,76,62,56,28,50,32,70,63,78
3/31/2016,78,65,59,0,50,46,66,61,84
4/1/2016,35,28,17,0,0,25,67,27,50
4/2/2016,26,28,19,0,75,28,44,18,34
4/3/2016,29,28,17,22,0,35,53,15,30
4/4/2016,33,28,17,0,0,44,73,21,68
4/5/2016,34,29,21,0,0,33,79,25,72
4/6/2016,36,29,15,19,32,41,72,21,66
4/7/2016,31,28,21,0,0,50,75,17,62
4/8/2016,35,28,17,21,35,38,79,22,65
4/9/2016,35,28,19,0,0,29,47,19,40
4/10/2016,31,28,22,0,38,31,46,24,45
4/11/2016,33,31,20,20,0,49,64,16,74
4/12/2016,34,30,21,0,31,46,57,22,61
4/13/2016,33,27,22,0,66,41,67,19,72
4/14/2016,43,28,19,20,0,28,70,17,63
4/15/2016,35,28,17,21,0,35,73,16,58
4/16/2016,34,26,14,0,37,16,44,15,43
4/17/2016,27,26,15,0,36,44,61,15,42
4/18/2016,37,28,16,0,0,33,77,18,64
4/19/2016,33,28,18,0,0,39,84,21,74
4/20/2016,34,30,18,20,33,25,65,20,75
4/21/2016,33,31,19,0,0,25,60,19,62
4/22/2016,37,32,21,0,0,52,60,19,60
4/23/2016,35,30,21,0,0,22,45,16,43
4/24/2016,33,34,24,22,0,28,51,16,48
4/25/2016,35,33,17,19,0,46,75,16,78
4/26/2016,38,34,27,19,33,40,75,17,77
4/27/2016,41,33,26,0,0,22,70,14,72
4/28/2016,42,37,26,20,33,22,68,17,68
4/29/2016,34,31,20,0,35,32,55,13,71
4/30/2016,36,30,23,0,0,26,49,20,48
5/1/2016,35,29,18,23,37,22,51,21,50
5/2/2016,42,100,29,100,0,36,70,22,100
5/3/2016,38,60,23,0,100,30,78,19,100
5/4/2016,40,43,19,0,0,25,70,17,82
5/5/2016,36,45,21,0,35,45,45,19,84
5/6/2016,38,41,21,21,0,26,64,20,68
5/7/2016,34,35,21,0,0,36,39,14,58
5/8/2016,30,33,23,0,0,29,40,22,56
5/9/2016,35,37,23,20,0,34,78,17,80
5/10/2016,40,37,25,20,32,38,78,17,89
5/11/2016,37,35,22,0,0,51,61,22,80
5/12/2016,33,32,21,20,33,44,71,21,84
5/13/2016,37,33,23,20,0,40,64,26,89
5/14/2016,33,31,20,23,0,45,53,17,51
5/15/2016,32,31,17,0,0,44,45,19,61
5/16/2016,31,31,23,0,0,25,62,25,69
5/17/2016,36,31,20,0,0,38,80,28,88
5/18/2016,34,32,20,38,0,24,92,38,92
5/19/2016,35,33,22,0,34,56,71,43,82
5/20/2016,36,31,21,0,35,32,71,39,65
5/21/2016,34,28,18,0,79,36,51,32,42
5/22/2016,29,29,14,0,39,22,47,35,57
5/23/2016,33,31,16,0,0,46,89,29,65
5/24/2016,40,31,23,0,0,50,84,34,80
5/25/2016,40,31,23,0,0,28,77,36,79
5/26/2016,38,31,23,42,0,41,85,33,86
5/27/2016,36,35,23,0,0,47,71,29,73
5/28/2016,43,39,35,46,0,52,47,35,52
5/29/2016,46,45,34,47,39,63,68,23,42
5/30/2016,45,45,37,41,0,40,87,25,87
5/31/2016,49,45,38,20,0,55,84,28,80
6/1/2016,42,42,30,40,0,47,81,29,82
6/2/2016,38,36,27,20,34,51,79,30,80
6/3/2016,44,42,31,0,0,47,68,32,82
6/4/2016,46,42,31,24,0,30,46,27,60
6/5/2016,40,38,26,69,0,49,53,29,54
6/6/2016,44,43,33,0,0,36,87,24,100
6/7/2016,44,41,32,0,32,56,64,31,78
6/8/2016,42,38,35,20,0,25,76,23,89
6/9/2016,40,36,26,0,32,36,66,28,85
6/10/2016,41,36,27,0,0,35,63,24,79
6/11/2016,44,37,28,0,40,39,45,18,53
6/12/2016,56,53,47,45,37,35,53,27,51
