date,btc,bitcoin,btc usd,btcusd
2016-01-01,63,60,38,38
2016-01-02,72,61,31,100
2016-01-03,68,65,49,0
2016-01-04,81,69,62,0
2016-01-05,88,68,45,44
2016-01-06,80,65,64,0
2016-01-07,87,78,85,59
2016-01-08,86,73,64,30
2016-01-09,66,67,51,34
2016-01-10,70,63,39,0
2016-01-11,78,67,67,55
2016-01-12,76,65,42,0
2016-01-13,69,69,54,43
2016-01-14,78,65,48,28
2016-01-15,88,100,100,60
2016-01-16,88,98,60,32
2016-01-17,74,80,44,66
2016-01-18,100,79,64,59
2016-01-19,81,78,86,0
2016-01-20,92,85,75,43
2016-01-21,73,80,73,0
2016-01-22,76,73,82,75
2016-01-23,78,64,73,64
2016-01-24,73,66,48,0
2016-01-25,77,69,62,28
2016-01-26,76,67,67,29
2016-01-27,72,65,53,28
2016-01-28,70,72,52,30
2016-01-29,75,65,59,58
2016-01-30,70,58,41,34
2016-01-31,57,64,39,33
2016-02-01,74,62,51,0
2016-02-02,69,62,57,29
2016-02-03,71,63,47,28
2016-02-04,70,64,44,30
2016-02-05,70,57,47,30
2016-02-06,71,64,59,33
2016-02-07,61,63,49,0
2016-02-08,65,60,42,0
2016-02-09,75,63,62,44
2016-02-10,66,65,38,87
2016-02-11,74,67,53,43
2016-02-12,67,63,61,29
2016-02-13,63,58,60,33
2016-02-14,65,67,49,0
2016-02-15,79,72,63,56
2016-02-16,63,70,41,29
2016-02-17,77,72,74,29
2016-02-18,75,82,60,43
2016-02-19,74,75,65,44
2016-02-20,81,71,70,48
2016-02-21,78,75,65,65
2016-02-22,78,69,67,0
2016-02-23,83,68,71,57
2016-02-24,77,65,59,0
2016-02-25,86,66,67,28
2016-02-26,83,64,60,0
2016-02-27,75,62,64,33
2016-02-28,72,59,51,0
2016-02-29,79,65,62,27
2016-03-01,79,69,64,54
2016-03-02,60,68,46,27
2016-03-03,77,69,75,43
2016-03-04,72,65,64,0
2016-03-05,82,67,63,0
2016-03-06,72,66,59,47
2016-03-07,77,68,56,0
2016-03-08,71,66,73,0
2016-03-09,71,66,51,0
2016-03-10,74,61,52,88
2016-03-11,71,60,53,0
2016-03-12,67,57,62,0
2016-03-13,72,58,49,31
2016-03-14,80,68,46,28
2016-03-15,83,66,47,0
2016-03-16,81,61,55,29
2016-03-17,79,60,52,0
2016-03-18,78,59,51,0
2016-03-19,73,50,60,33
2016-03-20,62,53,51,33
2016-03-21,87,61,64,0
2016-03-22,68,62,43,28
2016-03-23,77,59,44,0
2016-03-24,67,60,50,0
2016-03-25,71,61,44,32
2016-03-26,70,56,44,0
2016-03-27,64,61,38,0
2016-03-28,74,66,71,0
2016-03-29,78,65,72,0
2016-03-30,76,62,56,28
2016-03-31,78,65,59,0
2016-04-01,35,28,17,0
2016-04-02,26,28,19,0
2016-04-03,29,28,17,22
2016-04-04,33,28,17,0
2016-04-05,34,29,21,0
2016-04-06,36,29,15,19
2016-04-07,31,28,21,0
2016-04-08,35,28,17,21
2016-04-09,35,28,19,0
2016-04-10,31,28,22,0
2016-04-11,33,31,20,20
