Date,text
2018-05-27,b'#Bitcoin Thinking to try'
2018-05-27,b'RT @murthaburke: Keen Autonomous  Ride  Hailing Platform- Check This Out! Get in NOW!\nhttps://t.co/Ri6MEMMy69 \n#imkeen @BIGMONEYMIKE6 @iamj\xe2\x80\xa6'
2018-05-27,b'RT @murthaburke: Keen Autonomous  Ride  Hailing Platform- Check This Out! Get in NOW!\nhttps://t.co/Ri6MEMMy69 \n#imkeen @BIGMONEYMIKE6 @iamj\xe2\x80\xa6'
2018-05-27,"b'RT @johnkim77: Reppin that ""L"" Litecoin so everyone behind me can see!! @Bitcoin_Gallery \n\n#Litecoinfam #LitecoinNation #PayWithLitecoin \n#\xe2\x80\xa6'"
2018-05-27,b'The Dreaded GDPR Is Here: Non-Compliant Companies Had Better Get Their Checkbooks Ready \nhttps://t.co/C5GgBm2Y6u\xe2\x80\xa6 https://t.co/0OjN3o4Sp8'
2018-05-27,b'RT @TechnicalsMatt: Weekly #crypto #mining intake thru 5/26=$930. I do this every week! Join me! https://t.co/7dlclEF6Vn #cryptocurrency #c\xe2\x80\xa6'
2018-05-27,"b'RT @BoogieCrypto: This is gonna be a good week for $btc.\n\nWhy?\n\nBecause the last time #bitcoin had 4 red weekly candles in a row, was July\xe2\x80\xa6'"
2018-05-27,"b'RT @ArminVanBitcoin: The cover of the biggest newspaper magazine in Argentina : ""Is #bitcoin killing the USD""? \xf0\x9f\x93\xb0\xf0\x9f\x87\xa6\xf0\x9f\x87\xb7 #hyperbitcoinization htt\xe2\x80\xa6'"
2018-05-27,b'Singapore has warned eight cryptocurrency exchanges about their activities https://t.co/OUJDycgaSe\xe2\x80\xa6 https://t.co/AB613bYUiJ'
2018-05-27,b'The latest The Caliber Group Daily! https://t.co/32xNmQ1uDE #bitcoin'
2018-05-27,b'RT @VTOSFOUNDATION: \xe2\x80\x9cI\xe2\x80\x99m not a big believer in #Bitcoin. I am a believer in blockchain technology.\xe2\x80\x9d - Gary Cohn \n\n\xf0\x9f\x91\x89https://t.co/VFqG5uR2us\xe2\x80\xa6'
