"dates_s","oil_price"
"2016-01-01",36.81
"2016-01-02",36.78
"2016-01-03",36.74
"2016-01-04",36.81
"2016-01-05",35.97
"2016-01-06",33.97
"2016-01-07",33.29
"2016-01-08",33.2
"2016-01-09",32.56
"2016-01-10",31.97
"2016-01-11",31.42
"2016-01-12",30.42
"2016-01-13",30.42
"2016-01-14",31.22
"2016-01-15",29.45
"2016-01-16",29.28
"2016-01-17",28.97
"2016-01-18",28.66
"2016-01-19",28.47
"2016-01-20",26.68
"2016-01-21",29.55
"2016-01-22",32.07
"2016-01-23",31.26
"2016-01-24",30.79
"2016-01-25",30.31
"2016-01-26",29.54
"2016-01-27",32.32
"2016-01-28",33.21
"2016-01-29",33.66
"2016-01-30",32.87
"2016-01-31",32.2
"2016-02-01",31.62
"2016-02-02",29.9
"2016-02-03",32.29
"2016-02-04",31.63
"2016-02-05",30.86
"2016-02-06",30.45
"2016-02-07",30.02
"2016-02-08",29.71
"2016-02-09",27.96
"2016-02-10",27.54
"2016-02-11",26.19
"2016-02-12",29.32
"2016-02-13",29.07
"2016-02-14",29.12
"2016-02-15",29.16
"2016-02-16",29.05
"2016-02-17",30.68
"2016-02-18",30.77
"2016-02-19",29.59
"2016-02-20",30.29
"2016-02-21",30.82
"2016-02-22",31.37
"2016-02-23",31.84
"2016-02-24",30.35
"2016-02-25",31.4
"2016-02-26",31.65
"2016-02-27",32.06
"2016-02-28",32.46
"2016-02-29",32.74
"2016-03-01",34.39
"2016-03-02",34.57
"2016-03-03",34.56
"2016-03-04",35.91
"2016-03-05",36.47
"2016-03-06",37.09
"2016-03-07",37.9
"2016-03-08",36.67
"2016-03-09",37.62
"2016-03-10",37.77
"2016-03-11",38.51
"2016-03-12",37.98
"2016-03-13",37.58
"2016-03-14",37.2
"2016-03-15",36.32
"2016-03-16",38.43
"2016-03-17",40.17
"2016-03-18",39.47
"2016-03-19",39.7
"2016-03-20",39.86
"2016-03-21",39.91
"2016-03-22",41.45
"2016-03-23",38.28
"2016-03-24",38.14
"2016-03-25",38.1
"2016-03-26",38.03
"2016-03-27",37.96
"2016-03-28",37.99
"2016-03-29",36.91
"2016-03-30",36.91
"2016-03-31",36.94
"2016-04-01",35.36
"2016-04-02",35.12
"2016-04-03",34.76
"2016-04-04",34.3
"2016-04-05",34.52
"2016-04-06",37.74
"2016-04-07",37.3
"2016-04-08",39.74
"2016-04-09",39.88
"2016-04-10",40.23
"2016-04-11",40.46
"2016-04-12",42.12
"2016-04-13",41.7
"2016-04-14",41.45
"2016-04-15",40.4
"2016-04-16",40.29
"2016-04-17",40.09
"2016-04-18",39.74
"2016-04-19",40.88
"2016-04-20",42.72
"2016-04-21",43.18
"2016-04-22",42.76
"2016-04-23",42.45
"2016-04-24",42.13
"2016-04-25",41.67
"2016-04-26",42.52
"2016-04-27",45.29
"2016-04-28",46.03
"2016-04-29",45.98
"2016-04-30",45.51
"2016-05-01",45.1
"2016-05-02",44.75
"2016-05-03",43.65
"2016-05-04",43.77
"2016-05-05",44.33
"2016-05-06",44.58
"2016-05-07",44.22
"2016-05-08",43.92
"2016-05-09",43.45
"2016-05-10",44.68
"2016-05-11",46.21
"2016-05-12",46.64
"2016-05-13",46.22
"2016-05-14",46.78
"2016-05-15",47.25
"2016-05-16",47.72
"2016-05-17",48.29
"2016-05-18",48.12
"2016-05-19",48.16
"2016-05-20",47.67
"2016-05-21",47.86
"2016-05-22",47.98
"2016-05-23",48.12
"2016-05-24",48.04
"2016-05-25",49.1
"2016-05-26",49
"2016-05-27",49.36
"2016-05-28",49.26
"2016-05-29",49.21
"2016-05-30",49.16
"2016-05-31",49.1
"2016-06-01",49.07
"2016-06-02",49.14
"2016-06-03",48.69
"2016-06-04",49.1
"2016-06-05",49.42
"2016-06-06",49.71
"2016-06-07",50.37
"2016-06-08",51.23
"2016-06-09",50.52
"2016-06-10",49.09
"2016-06-11",49.1
"2016-06-12",48.98
"2016-06-13",48.89
"2016-06-14",48.49
"2016-06-15",47.92
"2016-06-16",46.14
"2016-06-17",48
"2016-06-18",48.36
"2016-06-19",48.83
"2016-06-20",49.4
"2016-06-21",48.95
"2016-06-22",49.16
"2016-06-23",49.34
"2016-06-24",46.7
"2016-06-25",46.64
"2016-06-26",46.35
"2016-06-27",45.8
